"ID","NAME","SCIENTIFIC_NAME","LIGHT","WATER","FERTILIZER","TEMPERATURE","HUMIDITY","FLOWERING","PESTS","DISEASES","SOIL","POT_SIZE","PRUNING","PROPAGATION","POISONOUS_PLANT_INFO"
"214","Poinsettia Plant","EUPHORBIACEAE PULCHERRIMA","Poinsettia Plants need very bright indirect light but no direct sun. The light from a north- facing window is really not adequate for a Poinsettia Plant. If you place your Poinsettia Plant close to a window, be sure none of the leaves touch the glass or the cold will damage them.","Poinsettia Plants are members of the Euphorbia family and should not be over- watered. Always allow the top 50% of the soil to dry out before watering to prevent root rot. Over-watering a Poinsettia Plant causes green leaves to fall off, leaving bare stems topped by a few colorful bracts. Severe under-watering, in which a Poinsettia Plant badly droops, results in both green and colored leaves dropping off. Be careful not to get the leaves of a Poinsettia Plant wet when watering. Water drops cause unsightly white marks on Poinsettia leaves.","Fertilize a Poinsettia Plant monthly in the spring and summer after the plant has finished blooming.","Temperature is a very important factor in Poinsettia Plant care. Poinsettia Plants last longer and look better when the temperature is between 65-70 degrees during the day and around 60 degrees at night. Temperatures that are too hot or too cold damage Poinsettia Plant leaves and may cause leaf drop. Keep Poinsettia Plants away from drafty doors and windows, fireplaces, heaters, and the tops of appliances that give off heat.","A Poinsettia Plant does well in basic household humidity.","","Houseplant pests that may infect Poinsettia Plants are: whiteflies , Fungus Gnats , Mealy Bugs , and spider mites.","Avoid over- watering and keep the leaves of a Poinsettia Plant dry to prevent plant diseases.","Use a good, quick-draining, acidic potting soil for Poinsettias.","Poinsettia Plants can be found in pots from 4""-14""","","Poinsettias are propagated by Stem Cuttings , but it is quite difficult.","Poinsettias, despite all rumors, are only very mildly poisonous . If quite a bit of the plant is ingested, some vomiting, drooling in pets, or sometimes diarrhea may be occur. If the milky sap of a poinsettia gets onto the skin, redness, swelling, and itchiness can develop especially if someone is allergic to latex."
"215","Polka Dot Plant","HYPOESTES","A polka dot plant, Hypoestes, grows best in bright indirect light . Too much light or too little light causes the colors in the leaves of this plant to fade.","Water well and then allow the top 25% of the soil to dry out before watering again. Over-watering causes root rot. If the leaves droop, they quickly perk up after a little water.","Feed it monthly in the spring and summers with a balanced liquid fertilizer diluted to 1/2 the usual strength. During the fall and winter, fertilize every other month.","Polka dot plants prefer warm temperatures around 75degrees Fahrenheit (23.9degrees Celsius)","High humidity is preferred","The flowers are small and inconsequential flowers compared to the bright, bold leaves,","The colorful leaves attract whiteflies Aphids, and Mealy Bugs; use the ""green solution"" at 1/2 strength to get rid of these plant pests.","Over- watering causes powdery mildew and root rot.","Prefers a rich, loose, peat-based soil that drains well.","Polka dots plants are usually found in 4"" and 6"" pots.","Prune aggressively to prevent the plant from becoming leggy and thin looking.","Polka dot plants have a limited life span, but they are easily propagated from Stem Cuttings .","This is a non- poisonous houseplant."
"216","Ponytail Palm Plant","BEAUCARNEA RECURVATA","A Ponytail Palm grows best in very bright indirect light or full sun. In proper growing conditions, it can reach a height of up to 8ft.","Over- watering is about the only way to kill a Ponytail Palm. Allow the top 50-70% of the soil to dry out before watering. During the warm months you may need to water every 7-14 days; in winter, only every three or four weeks. A Ponytail Palm stores water in its base and is very drought resistant. These plants can get brown leaf dips when they are over or under watered. However, when in doubt, do not water!","Fertilize monthly during the spring and summer with a basic houseplant food diluted to 1/2 the recommended strength. If the soil is very dry, use plain water first, then use water containing plant food. This prevents the fertilizer from burning the roots and causing brown leaf tips.","Ponytail Palms like warm temperatures above 60degrees Fahrenheit (15.6degrees Celsius). They can survive lower temperatures, but don't grow as well. These plants, unlike other exotic tropical houseplants, like dry hot heat.","A Ponytail Palm needs very little humidity and does well in warm dry air.","","Mealy Bugs , spider mites, and scale may infest a Ponytail Palm, especially the new growth. Spray with the green solution diluted to 1/2 strength.","","The soil of a Ponytail Palm needs to dry out. Use a fast draining, light soil with a lot of sand in it; this helps prevent over-watering and root rot.","If you want to keep a Pony Tail Palm small keep it in a small pot. When you move it to a larger pot, the trunk can expand and the PonyTail Palm grows faster.","Trim the brown ends off the leaves with a wet scissors.","Propagate by separating the offsets or suckers that grow around the base of the plant. Read more about this type of propagation in the Glossary of the website.","A Ponytail Palm is a non- poisonous plant."
"217","Pothos Plant","EPIPREMNUM AUREUM","There is a pothos plant variety for almost any light situation. Green Jade pothos with their solid green leaves do well in low light . The Golden pothos variety, with yellow and green leaves, likes medium light. Marble Queen pothos, with green and white leaves, grow best in medium to bright indirect light . The lighter the color in the leaves, the more light a plant requires.","Water well and then allow the top 50% of the soil to dry out before watering again. Over-watering is the main reason a pothos plant dies. Bright yellow leaves indicate that the soil has gotten too dry before you watered it. New growth and older leaves turn pale yellow and may get black spots on the leaves when a pothos is over- watered.","Fertilize every two weeks in the spring and summer when the plant is actively growing and monthly in the fall and winter. Use a well-balanced plant food diluted to 1/2 the recommended strength.","Pothos plants do well in temperatures between 55degrees and 80degrees Fahrenheit (12.8degrees-26.7degrees Celsius). If temperatures drop below 45degrees Fahrenheit (7.2degrees Celsius), a pothos plant stops growing and the leaves turn black.","Basic household humidity","","Pothos plants are relatively pest resistant. If the soil stays too damp, Fungus Gnats may appear. Mealy Bugs are another pest to look out for.","Over-watering causes plant diseases such as crown, leaf, and root rot. Once pothos plant roots are destroyed, is difficult to save the plant.","Use a well-aerated, quick-draining potting soil that dries out quickly.","Pothos plants like to be root-bound in small pots. Do not re-pot until the roots of the plant have filled the existing container. There must always be drip holes in the bottom of the pot so excess water can escape.","Trim long runners to keep a pothos looking bushy and full. 5""- 6"" cuttings can be rooted in water or vermiculite and used to start new plants.","Propagate using Stem Cuttings . You can find out how to propagate using Stem Cuttings in the Glossary of the website.","Pothos plants are poisonous plants with a level #2 toxicity."
"218","Prayer Plant","MARANTA LEUCONEURA","Prayer plants do well in medium to high light , but no direct sun. When there is not enough light, the leaves close at night and do not fully open during the day. When a Prayer plant gets too much light, the color in the leaves starts to fade.","Keep the soil of a Prayer plant moist but never soggy. Unlike most houseplants, it does not like to dry out before you water.","A Prayer plant is an acid loving houseplant. Feed with a basic houseplant food like Miracid, diluted to 1/2 the recommended strength every two weeks in the spring and summer. It's not necessary to fertilize a Prayer plant in the winter and fall. This acid loving plant will love your extra tea.","A Prayer Plant prefers normal household temperatures between 60degrees-80degrees.F (15.6degrees-26.7degrees Celsius). Lower temperatures can damage the leaves.","A Prayer Plant likes a very humid environment, and the humidity in ours homes is often too low. Increase the humidity by grouping plants together, putting a small humidifier or bowl of water near the plant, or setting a Prayer plant on a tray filled with water and small stones. Be sure the plant is sitting on the pebbles and not in the water.","The flowers of a Prayer plant are small and insignificant.","Mealy Bugs , spider mites, and Aphids are plant pests that can attack a Prayer Plant.","The high humidity a Prayer Plant needs encourages Leaf Spot Disease .","Prayer plants do best in a well-aerated, peat based, indoor potting soil that retains water yet still drains quickly.","These plants have very shallow roots. Always plant a Prayer plant in shallow pots with drip holes in the bottom.","Pruning a Prayer plant consists mainly of trimming the stems twice a year to keep the plant compact and bushy.","This plant is propagated by plant division and Stem Cuttings .","A Prayer Plant is a non- poisonous houseplant."
"219","Purple Velvet Plant","GYNURA AURANTIACA","A Purple Velvet plant needs bright indirect light . The intense purple color in the leaves starts to fade when the plant is not getting enough light.","Always allow the top 25% of the soil to dry out before watering. A Purple Velvet plant has fragile roots and is very susceptible to root rot, so be very careful not to over-water. Reduce your watering in the spring and fall when a Purple Velvet Plant is not actively growing. Try to keep the foliage dry and do not mist this plant.","Feed Purple Velvet plant every with a balanced fertilizer diluted to 1/2 the recommended strength. Feed monthly during the fall and every other month during the winter when the plant is resting.","Temperatures between 65degrees-85degrees Fahrenheit (18.3degrees-29.4degrees Celsius) are best.","Purple Velvet plants like high humidity.","A Purple Velvet plant produces small yellow/orange flowers in the spring or early summer. Many people find the smell of these flowers offensive so I would recommend cutting them off as soon as they appear.","whitefly , mealybugs, spider mites, scale , and Aphids can be a problem.","A Purple Velvet Plant is fairly disease resistant. Root rot caused by over watering is the main problem.","Use a good, basic, indoor potting soil that holds moisture but still drains quickly. Be sure there are drainage holes in the bottom of the pot to prevent over-watering and root-rot.","Purple Velvet plants grows much better when kept root- bound in small pots.","Aggressively prune before the plant starts to get too long and leggy. New growth develops wherever you trim the plant, making the Purple Velvet plant look much fuller. The cuttings can be used to propagate new plants.","A Purple Velvet plant is easily propagated by Stem Cuttings . These cuttings can be rooted in water or planted directly in the soil.","There are different opinions as to whether or not this plant is a poisonous houseplant. While it is often listed as a non- poisonous plant, I would recommend that it still be kept away from pets and small children. It has also been noted that some people have an allergic reaction from just touching the plant."
"220","Purple Waffle Plant","HEMIGRAPHIS ALTERNATA","Provide medium to bright indirect light but no direct sun. The leaf edges turn brown and curl and the colors in the leaves bleach out if the light is too strong. When there is not enough light, the vibrant colors in the leaves of a Purple Waffle plant start to fade.","Keep the soil barely moist but not soggy, at all times. Water less during the winter when the plant is growing slowly.","Feed your Waffle plant monthly from late March through September with a plant food high in phosphate (5/10/5) diluted to 1/2 the recommended strength. Be sure the soil is moist when you feed the plant or the roots may get burned","Waffle plants likes warm temperatures between 55degrees-75degrees Fahrenheit (12.8degrees–23.9degrees Celsius). Temperatures below 50degrees Fahrenheit (10degrees Celsius) may damage the leaves.","These plants grow better and look better in high humidity. If the air in your home is very dry, set the plant on a wet pebble tray. Be sure the plant is sitting on the pebbles and not in the water. If you do mist the plant, mist during the warm part of the day so the leaves have a chance to dry before night.","A Purple Waffle plant occasionally produces small, tubular, white flowers.","Fairly pest resistant, but a Waffle plant may attract whiteflies and scale","Root rot develops when the plant is overwatered. Mildew may occur if you mist a Purple Waffle plant late in the day and the leaves don't dry before evening.","Use a rich, organic soil full of peat moss that drains quickly.","Move the plant to the next size pot, and nothing larger, when the roots have filled the existing pot.","Pinch the stem tips of a Waffle plant to keep it bushy and compact. Allow some stems to grow long if you want to put the plant in a hanging basket.","Propagate during the spring and summer using 4""-6"" stem tip cuttings taken just below a node in the stem.","Non- poisonous to humans and pets"
"221","Pygmy Date Palm","PHOENIX ROEBELENII PALMS","An indoor date palm does well in bright indirect light , but can survive in medium filtered light; be careful not to over-water in lower light. Place a Phoenix roebelenii near an east or south facing window.","Keep the soil of a Pygmy Date Palm moist but never soggy during most of the year. In winter, allow the soil to dry out before watering. The fronds of a Dwarf Date Palm turn brown from too much water or from hard water.","Fertilize a Phoenix Roebelenii once in spring and again in summer with a time-release fertilizer . Rose fertilizer s work well because they provide important micronutrients that a Phoenix Roebelenii needs. Not enough magnesium in the plant food causes yellow spots on the fronds. If you use a regular, rather than a time release plant food, fertilize monthly when the palm is actively growing. Always dilute the plant food to 1/2 the recommended strength.","The ideal temperature for Pygmy Date Palms is 50-75degrees Fahrenheit (16-24degrees Celsius). A Phoenix Roebelenii does not do well when temperature go below 50degrees Fahrenheit (10degrees Celsius).","A Phoenix Roebelenii needs moderate to high humidity.","","Look out for scale and Spider Mites on a Pygmy Date palm.","Root rot occurs when a Phoenix Roebelenii is over- watered.","Use a basic indoor potting soil that drains well. Add a little perlite or hard sand to potting soil to improve drainage.","Repot an immature Phoenix Roebelenii every few years in the Spring. A mature plant has very delicate roots that don't like to be disturbed. As the Palm gets older, keep it in the same pot and replace the top few inches of soil each year. A Phoenix Roebelenii is a spreading plant that gets very top heavy so plant it in a heavy container so that won't tip over.","There are sharp spines at the base of the leaflets on the fronds of a Phoenix Roebelenii, be sure to wear gloves when pruning off old fronds.","A Dwarf Palm is propagated using the suckers that develop around the base of the plant. Cut off the suckers, including their roots, and plant them in a small pot to start a new plant.","Phoenix Roebelenii are non- Poisonous Houseplants ."
"222","Rabbit's Foot Fern","DAVILLIA FEJEENSIS","A Rabbit's Foot fern does well in the medium light provided by a north or east-facing window. Avoid south and west-facing windows because the intense sun will burn the fronds and the heat will cause the soil to dry out too quickly.","This particular fern likes to be a little drier than most other indoor ferns. Allow the top 25% of the soil to dry out before watering.","Fertilize every 2 weeks in the spring, summer & fall with a balanced plant food diluted to 1/2 the recommended strength. Feed a Rabbit's Foot fern only when it is actively growing. Too much fertilizer burns the edges of the fronds.","Temperatures between 65degrees-75degrees Fahrenheit (18.3degrees-23.9degrees Celsius) during the day and 10degrees cooler at night.","A Rabbit's Foot fern prefers 40-50% humidity.","","Mealy Bugs and scale . If the infestation is very bad, cut off the entire frond. Do not use a commercial pesticide, it will damage the delicate fronds. Use a Qtip dipped in alcohol to remove any bugs.","A Rabbit's Foot fern is usually disease resistant.","A Rabbit's Foot fern grows well in a soil that is 50% peat moss and 50% chopped bark.","Rabbit's Foot ferns have very shallow root systems and like to be planted in a shallow pot. Re-pot every few years when the roots have filled the entire pot.","Pruning is rarely necessary.","Propagate by plant division . Carefully divide the plant rhizomes (fleshy roots); be sure that there is a piece of stem attached to each rhizome.","A Rabbit's Foot Fern is a non-poisonous houseplant."
"223","Rhapis Palm","RHAPIS EXCELSA","A Rhapis Palm grows best in bright indirect light but can adapt to lower light.","Allow the top 50% of the soil of a Rhapis Palm to dry out before watering. A Rhapis, like many palms, is sensitive to chlorine, fluoride, and boron in the water. If these chemicals are present allow the water to sit for 24-48 hours before using it or use distilled water. Consistent over-watering causes root rot.","Lady Palms are slow-growing plants that need very little fertilizer . Feed every other month when the plant is actively growing with a balanced plant food diluted to 1/4 the recommended strength. If the fronds start to look a little yellow add an extra feeding to your schedule.","The Rhapis Palm can adapt to temperatures between 50degreesand 80degrees F. (10degrees-26.7degrees Celsius) so it is well-suited to any home or office.","Lady Palms adjust to both dry and humid environments.","","If your Lady Palm gets spider mites or scale , the insects tend to hide under stem coverings and are difficult to reach with sprays. A systemic insecticide works better.","","Plant a Rhapis Palm in a well-drained dense soil and add additional humus if needed. African Violet soil works well. If the soil appears heavy and isn't draining quickly, add sand.","A Lady Palm likes to be root-bound in a small pot. When you do repot be sure to cover all of the roots and bases of the canes. This encourages new shoots and suckers that make the palm look full.","","Propagate by plant division . Divide the canes of the plant into several clumps. Be sure to include their underground rhizomes since this is where the new shoots come from.","Lady Palms are non-toxic plants."
"224","Rubber Tree Plant","FICUS ELASTICA","Rubber tree plants do best in medium to bright indirect light . The solid green and dark burgundy varieties can adapt to less light, but the stems may be weak and the leaves small.","These plants are a little difficult to water. Allow the top 25-30% of the soil to dry out before watering. Keep the soil drier when your plant is in lower light or the room temperature is cooler. The leaves turn yellow from under-water and perfectly fine leaves may fall off from over-watering.","Rubber tree plants do not need much fertilizer . Feed monthly when the plant is actively growing with a balanced plant food diluted to 1/2 the recommended strength.","Indoors they do well in warm temperatures between 70degrees Fahrenheit-80degrees Fahrenheit (21.1Cdegrees-26.7degrees Celsius) with a night-time temperature around 65degrees Fahrenheit (18.3C). Keep a Rubber Tree plant away from cold drafts, air conditioners, heaters, and fireplaces.","Basic household humidity","","whiteflies , scale , Mealy Bugs , and thrip","sooty mold , root rot, and leaf spot. Treat by spraying all parts of your plant with the "" green solution "" diluted to 1/2 the usual strength. (Recipe in the Glossary). Large brown spots along leaf edges usually indicate a fungal or bacterial disease. Remove the diseased leaves, replace the soil, and scrub the container with a mild bleach solution. Keep infected plants away from your other plants.","Use a well-aerated houseplant soil that retains moisture but still drains quickly.","Rubber tree plants like to be root-bound in small pots so don't rush to move them to larger containers. Be sure any pot you use has drip holes in the bottom.","Cutting off the growing tip of a main stem encourages the plant to send out new shoots and become bushier. Rubber Tree plants are relatively pest free, but not dust free. It's important to clean the broad leaves, both for aesthetics and for the health of the plant. Never use milk or mayonnaise to clean the leaves of your houseplants since both attract bugs and clog the pores in the plant leaves. There are several commercial plant cleaners available in the stores.","Stem Cuttings and air layering .","Slightly poisonous with a level #1 toxicity."
"225","Sago Palm","CYCAS REVOLUTA PALMS","A Sago Palm needs bright light with a little direct sun in the morning. Give a Sago Palm 1/4 of a turn each week to keep it from growing toward the light. In bright light a Sago Palm produces short thick fronds, in lower light the fronds are long and thin.","Allow the top 75% of the soil to dry out before thoroughly watering a Sago Palm. Water sparingly in the winter when there is less light and cooler temperatures. Be careful never to get water in the crown of a Sago Palm plant, this can cause crown rot disease and the eventual death of the plant. Sago Palms should never be allowed to totally dry out.","Feed a Sago Palm Plant monthly from the spring through fall with a liquid fertilizer (18-6-18) at 1/2 the recommended strength. To avoid leaf tip burn, never feed a Sago Palm if the soil is very dry. The fronds of a Sago Palm shrivel and dry up if it has been over-fertilized.","Sago Palms prefer temperatures between 60degrees-75degrees F (16degrees-24degrees C). They still do well in temperatures as low 45degrees F (7.2degrees Celsius) and can even survive for a short time when it is 25degrees Fahrenheit (-3.9degrees Celsius).","Sago Palms prefer high humidity so you may need to place a humidifier near the palm if the air in your home is very dry. Sago Palms can survive in basic household humidity but will not grow as well.","","scale is the main houseplant pest that attacks a Sago Palm.","crown rot plant disease occurs when water gets on the crown of a Sago Palm Plant. There is no treatment for crown rot and the Sago Palm often dies.","Use a cactus soil mix or a combination of 2 parts peat-moss based potting mix and 1 part sharp sand or perlite for a Sago Palm.","The roots of a Sago Palm do not like to be disturbed so re-pot only when necessary. You can control the height of a Sago Palm Plant by keeping it in a small pot.","Remove dead or damaged fronds from a Sago Palm as soon as they appear.","Mature Sago Palms produce offsets , called pups, which are used for propagation . When you remove a pup from around the base of a Sago Palm to propagate a new plant, be sure to take all of the leaves and roots.","A Sago Palm is a very poisonous houseplant with a #4 level toxicity. All parts are poisonous , especially the seeds. Keep a Sago Palm out of the reach of children, dogs, and especially cats who love to play with the fronds of the plant."
"226","Sansevieria Plant","SANSEVIERIA TRIFASCIATA","A sansevieria can be placed anywhere in a room from the darkest corner to the brightest window. The better the light, the faster a sansevieria grows.","Over-watering is the main reason sansevieria plants die. Allow the soil to dry out before watering. During the winter, in a low light area, a sansevieria plant may need water only once a month.","Feed a Sansevieria monthly when the plant is actively growing with a Cactus plant food diluted to 1/2 the recommended strength. Never use a fertilizer that contains nitrates.","Sansevierias grow well in temperatures between 60degrees Fahrenheit (15.5degrees Celsius) and 85degrees F (29degrees Celsius)","Prefer low humidity.","Sansevieria plants may produce flowers every few years during the summer. Flower production occurs when the plant is in bright light and experiencing some stress. Stress for a Sansevieria might be severely dry soil or being root-bound in a small pot. The flowers of a Sansevieria, which appear as clusters on long spikes, are fragrant but not particularly pretty.","Sansevieria plants seem to be immune to houseplant pests.","Red Leaf Spot Disease and root rot caused by over- watering.","Plant in a good, rich, organic soil that drains quickly. If the soil in the pot isn't draining well, add some sand.","Like to be root-bound in small pots.","","plant division or leaf cuttings. When using leaf cuttings to propagate a Sansevieria, allow the cut end of the leaf to dry out for a few days before planting it.","A Sansevieria is a mildly poisonous plant with a #1 level toxicity."
"227","Schefflera Plant","SCHEFFLERA ACTINOPHYLLA","Schefflera plants do well in medium light, but grow faster and develop more leaves in bright indirect light . The schefflera amate variety needs less light than regular schefflera houseplants.","Allow the top 25-30% of the soil to dry out before watering a schefflera. Green leaves drop off and new growth turns black when schefflera plants are over-watered. Yellow leaves indicate a schefflera needs more water.","Fertilize a schefflera monthly in the spring and summer when it is actively growing with a basic houseplant food diluted to 1/2 the recommended strength. During the fall and winter feed schefflera plants every other month but only if the plant is producing new leaves.","Schefflera plants prefer temperatures between 65degrees-80degrees Fahrenheit ( 18.3degrees-26.7degrees Celsius). They do not do well in temperatures below 55degrees Fahrenheit (12.8degrees Celsius). Keep scheffleras away from cold drafts and heaters.","Basic household humidity or higher is fine for Schefflera houseplants. If the air is very dry, place your Schefflera Plant on a tray of pebbles and water. Be sure the plant is sitting on the pebbles and not in the water.","","Spider mites, Mealy Bugs , Aphids , scale , and Fungus Gnats can infest a schefflera. Insect prevention is always easier than treatment; so examine the leaves of your schefflera time you water.","Leaf spot and powdery mildew develop if the soil or leaves of a Schefflera stay too wet.","Use a well-aerated fast-draining indoor potting soil for a schefflera.","Schefflera plants can be found in pots 4""-14"" in size.","If a schefflera loses its bottom leaves or becomes leggy, don't be afraid to aggressively prune the plant. When cutting back the thick stems or trunks of a schefflera, make the cut a little above a plant node. New growth develops from the node.","Propagate a schefflera using stem tip cuttings.","Schefflera plants are slightly Poisonous Houseplants with a level #1 toxicity."
"228","Selaginella Plant","LYCOPODIOIDES","Light requirements depend upon the variety of Selaginella. bright indirect light indoors, partial shade outdoors is usually a good idea for most Selaginella varieties.","Keep the soil moist but never soggy and avoid using cold water. A Selaginella plant becomes totally dormant and the leaves roll into tight little brown balls when there is no moisture. Once the Selaginella is watered, it turns green and starts to grow again.","A Selaginella plant needs very little plant food. Feed twice a year, once in April and once in July, with a water soluble fertilizer diluted to 1/2 the recommended strength. Do not fertilize newly potted Selaginella plants for at least two months.","Best temperature 50degrees-75degrees Fahrenheit (10degrees-24degrees Celsius ). Some types of Selaginella plants can handle temperatures as low as 40degrees Fahrenheit (4.4degrees Celsius)","Spike Moss or Selaginella plants like high humidity.","","Bothersome Selaginella plant pests are Mealy Bugs and spider mites.","","Use a peat moss based soil that retains water but still drains well for a Selaginella.","","Pinch back the tips of the stems of a Selaginella plant if they grow too tall or leggy. Pruning a Selaginella stimulates new growth and helps the plant become bushier. Remove dead or damaged stems as soon as they appear.","In nature, a Selaginella plant is propagated by spores. At home or in the greenhouse, we usually propagate a Selaginella by plant division or Stem Cuttings .","Selanginella is a non- poisonous houseplant"
"229","Shamrock Plant","OXALIS","Shamrock plants need bright indirect light to grow well and produce flowers. They often bloom all winter if kept in a well-lit spot.","Keep the soil barely moist but never soggy and allow the top 2"" of soil to dry out before watering. It's best to water a shamrock plant from the bottom so the thin fragile stems of the plant don't get water logged and the soil stays loose.","Feed monthly in the spring and summer when a shamrock plant is actively growing with a balanced fertilizer diluted to 1/2 the recommended strength. Never feed a shamrock plant when it is dormant and the bulbs are resting.","Shamrock plants grow best in cool temperatures between 60degrees-70degrees Fahrenheit (15.6degrees-21.1degrees Celsius) during the day and 55degrees-65degrees Fahrenheit (12.8degrees-18.3degrees Celsius) at night.","Shamrock plants do well in basic household humidity.","The shamrock plant variety oxalis regnelli has small, delicate, white flowers. The shamrock variety oxalis triangularis has delicate little lavender flowers.","Shamrock plants attract Aphids, whiteflies, and spiders mites. Use the ""green solution,"" a mixture of 1/2 mild soapy water, 1/2 alcohol and a few tablespoons of mineral oil to get rid of the spider mites and Aphids. Yellow Sticky Insect cards is the best way to handle whiteflies.","Fungal rust (brownish/orange discoloration on the backs of leaves) and chlorotic ring spot (yellow rings on the tops of leaves) are the two main diseases to watch out for. In both instances, take the plant out of the pot, scrub the pot with a mild bleach mixture, and then wash it well before repotting the plant in fresh soil. Spray the plant with Neem Oil .","Use a loose and sandy soil rather than a rich and organic soil.","Keep shamrock plants in small pots to prevent over- watering.","If your shamrock plant gets thin and leggy, cut the plant back to an inch or two above the soil line and place it in very bright indirect light . Elongated stems occur because the plant is reaching for the light.","The best time to propagate a shamrock plant is in the early spring right after its dormant stage. Shamrock plants are propagated by bulb division. These plants have very small bulbs that are referred to as bulblets. The healthy bulbs are small, white, and puffy.","Shamrock plants are slightly poisonous if eaten in very large quantities with a #1 toxicity level ."
"230","Spider Plant","CHLOROPHYTUM COMOSUM","Spider plants like medium to bright indirect light . Solid green varieties need less light than green and white varieties. No Spider plant should ever be put in the direct sun.","Allow the top 50% of the soil to dry out before you water. A good way to tell when a spider plant needs water is to look at the leaves. The green color in the leaves starts to fade when the soil is dry. Water high in salts and chemicals causes brown leaf tips. Never use water that had passed through a water softener; it is much too salty.","Fertilize monthly with a balanced plant food diluted 1/2 the recommended strength. Spider plants need food only when they are actively growing. Feeding too often causes the tips of the leaves to turn brown.","A spider plant does well in temperatures between 45degrees Fahrenheit- 80degrees Fahrenheit (7.2degrees Celsius-26.7degrees Celsius).","These plants prefer high humidity but still do very well in homes and offices.","A Spider plant produces very small white flowers at the ends of long stems. These flowers are usually followed by ""baby spider plants"" that can be used to start new plants.","Mealy Bugs , spider mite, scale , and Aphids - Spraying a spider plant monthly with the "" green solution "" ( recipe in the Glossary) helps prevent houseplant pests.","Spider plants are rarely bothered by plant diseases.","Use a good organic houseplant soil like an an African violet mix.","Spider plants like to be root-bound in small pots. Don't worry about re-potting until the roots have taken up the entire pot and the plant's rhizomes have popped out of the soil.","If a spider plant produces too many ""babies,"" you can cut them off and start new plants. Cut off any brown leaf tips that develop due to too much fertilizer or chemicals in the water.","Propagate spider plants using ""offsets"" (babies at ends of stems) or by plant division.","Non-poisonous houseplant."
"231","Split Leaf Philodendron","MONSTERA DELICIOSA","A split leaf philodendron needs medium to bright light . It can survive in lower light, but the leaves won't split and the plant becomes leggy. Keep it out of the direct sun.","Water well until the water drains out the drip holes in the bottom of the pot. Allow the top 25-30% of the soil to dry out before watering again. Keep the soil damp but never soggy. Water droplets or perspiration on the leaves indicate over-watering; brown leaf edges indicate under watering.","Feed every two weeks when the plant is actively growing with a balanced plant food diluted to 1/2 the recommended strength.","This plant prefers warm temperatures and doesn't do well in temperatures below 50degrees Fahrenheit (10degrees Celsius) .","Split leaf philodendrons grow better in high humidity, but adapt to household humidity.","A split leaf philodendron rarely flowers when grown as a houseplant.","Split leaf philodendrons are fairly immune to plant pests; but If Mealy Bugs , spider mites, Aphids , or scale appear, use the green solution (recipe in Glossary).","Watch out for bacterial diseases such as Erwinia Blight, Xanthomonas leaf spot, and leaf tip burn especially in warm, humid environments.","Does well in a rich soil that contains a good amount of peat moss. The soil needs to drain quickly to prevent root rot.","Unlike most indoor plants, a split leaf philodendron prefers to be in a large pot. These bigger pots promote larger leaves.","Try to keep the large leaves clean and dust free. This plant needs to be aggressively trimmed or it can take over your room.","Propagate using Stem Cuttings . Be sure to include a few leaves and a few plant nodes on each cutting and to allow the cutting to sit out over night before planting. This helps prevent the developing roots from rotting.","Split leaf philodendrons are very Poisonous Houseplants with a #2 toxicity level ."
"232","Staghorn Fern","PLATYCERIUM","Staghorn ferns like bright, indirect light but no direct sun.","Check the center of a Staghorn Fern for moisture. When the top 50% of the soil at the center is dry, submerge the entire plant, pot, piece of bark, or basket in a bucket of lukewarm water. Green fronds fall off a Staghorn Fern from over-watering. Keep the soil dryer in the winter.","Feed a Staghorn Fern monthly in spring and summer with a well balanced fertilizer at 1/2 the recommended strength.","A Staghorn Fern does well in temperatures between 65degrees-80degrees Fahrenheit (18.3degrees-26.7degrees Celsius)","Staghorn Ferns like plenty of humidity, but never mist the leaves. Place a humidifier next to it if the air is too dry and the plant is not doing well.","","Houseplant pests such as Mealy Bugs and scale can be a problem.","The high humidity this plant likes may cause powdery mildew to develop on the leaves.","Orchid bark mixed with potting soil makes a good medium for a Staghorn Fern. This plant can also be grown in sphagnum moss that is attached to a piece of wood or bark. The arrangement can then be hung on a wall.","Clay pots or wire baskets filled with sphagnum moss work well. These plants look wonderful attached to a wooden plank and hanging on the wall.","","Propagating by plant division harms the roots. It's better to propagate a Staghorn Fern using the plantlets or offsets that develop at the base of the fern.","A Staghorn Fern is non- poisonous plant."
